Unnamed:,label,cleaned_text
799999,1,love healthuandpets u guy r best
800000,1,im meting one besties tonight cant wait girl talk
800001,1,darealsunisakim thanks twiter ad sunisa got met hin show dc area swetheart
800002,1,sick realy cheap hurt much eat real fod plus friend make soup
800003,1,lovesbroklyn efect everyone
800004,1,productofear tel burst laughing realy loud thanks making come sulk
800005,1,rkeithil thans response ihad already find answer
800006,1,kepinupwkris jealous hope great time vega like acms love show
800007,1,tomcfly ah congrats mr fletcher finaly joining twiter
800008,1,evoip responded stupid cat helping type forgive erors
800009,1,crazy day schol hour straight watch hils spencerprat told to ha hapy birthday jb
800010,1,naughtyhaughty forget two half men love show
800011,1,nileyjileyluver haha wory get hang it
800012,1,soundwav least one feling lost may cause many later usual night already adicting
800013,1,lutheranluciol make sure dm post link video ltlolgtso mi beter get permision blesing first
800014,1,aded twetie new iphone
800015,1,michelardi realy know think globe yeah sana gumaling na ko para alam ko na din kung makakasama ako
800016,1,nicolerichie picture swet
800017,1,catching email r random bacn im cuting early tonight pm diner lauraw
800018,1,dancing around rom pjs jaming ipod geting dizy wel twiter asked
800019,1,place pep contest thanks voting anyways
800020,1,going bed godnight everyone swet dream htptwitpicomye
800021,1,litlelumen walking put deposit tomorow
800022,1,folowinq dachesterfrench shud tha
800023,1,lordpov meant ad back quotwitering toilet cubicle somewherequot
800024,1,aw im holding new pupy wel he mine he cutie
800025,1,ijohn kiteh slepin crotch prof like
800026,1,dramabeats agred
800027,1,reaching amritsar hour if find bus wagah border pm htpbkitecomfuj
800028,1,albinla thinking tonight let first interview famous super star
800029,1,hapy spend time family
800030,1,finaly going bed tired gona watch hils didnt
800031,1,efing tired throat hurting oh got crazy craving pina coladabanana slushie
800032,1,deon upload di indowebster dong bang
800033,1,wisdomous welcome glad enjoyed it
800034,1,hawaishelz hahaha omg wer laughin hok cuz da rolryt sheldawg
800035,1,sickwiththepen aw pokie fel beter il pray youand bag nurse
800036,1,yay found new cudle budy
800037,1,think met first quotsnobquot twiter tonight bad life go on
800038,1,acros universe slep rehearsal tomorow
800039,1,anabele dry swet potato huh
800040,1,jonathanrknight hi jon great hear you se cruise canot wait hope wel knight bus loved
800041,1,long conversation mom phone
800042,1,suitelifeofkel yay lol requested her say
800043,1,practicing linesmanerismsvoices upcoming feature shot probably driving brock crazy
800044,1,going go read new mon rd time cant get enough twilight series
800045,1,today two month aniversary love so much diana omg dont even know tar hel nca wot
800046,1,bored
800047,1,stevecla walpaper red square asking
800048,1,rkeithil thanks response ihad already find answer
800049,1,popemelo wel yeah noticed cuz im b to
800050,1,tryna get inspired thats
800051,1,kourtneykardash cant get early enough night workout much beter
800052,1,ladygaga cant wait se ur hot a austin wot wot and love bob purple went royal color way wel
800053,1,quotablebufy got bunch bufy song to one faves quotvivianquot nerf herder faith met spike bufys body
800054,1,devunity walpaper check gt htptwitpicomye
800055,1,morning twetland long day ahead hope everyone great day
800056,1,uploading picture friendster
800057,1,ashct aw dont love love day thanks pic p
800058,1,nodlebox amanda tonight
800059,1,unavion sory im like diferent thing kevin jonas girlfriend
800060,1,fuzeb serious singing like whoa hehe lsd maybe jk lolol
800061,1,loving life loving
800062,1,apothecaryjeri love sicilian best damn piza planet say i
800063,1,love chocolate milk gf yeah
800064,1,going suter crek tomorow tour old mine
800065,1,bodycoach il lok cho personaly like strawbery im going become coach son
800066,1,litlefish gues live side earth east mesa losiento
800067,1,paulapaige apart sore tryout
800068,1,failed physic test homo ken holiday day go
800069,1,observed update lok alexa website htptinyurlcomcgzf loks great sems alexa improving
800070,1,leiabox tel u it im totaly geking right
800071,1,theragingocean bonjour spacecowboyi wish either i work kid go whenever want go wherever want
800072,1,rebeca godnight
800073,1,brother sick lol quite weird
800074,1,drdrew give hug cokie hope fel beter
800075,1,jonathanrknight hey jon real hope take care yourselfwe want get rundown hug
800076,1,wrote toilet wal corect por speling highlighter wash of hardcore
800077,1,god tech meting clubzone diner sushi
800078,1,matgaloway thanks hok carlyrush sugesting bro rock
800079,1,jefswarens depends version thought one know go like
800080,1,speakashley hand stil prety weak cant like punch anyone yet turn knob doesnt hurt much
800081,1,honey lurker interesting
800082,1,saravananp mine b north stil ned decide aru hithavaru ninage e movarolage vote
800083,1,trstfndby um bought shit korean oach highest quality baby paid extra get real tag sewed
800084,1,eating icecream chocolate toping
800085,1,iamdidy teling me finished crunch step didy let go
800086,1,itsyvone dang know posible talk long whatd guy talk
800087,1,lauruy west mostly san jose san francisco
800088,1,niki working a bike trying recover kne injury god her
800089,1,marymayblod would love come help unpack let know ned sat afternon
800090,1,shenagians team awesomelt
800091,1,listening music chilingil probably regret geting work donebut til im gona kick back
800092,1,study think amp grow rich wow amazing timeles law atraction is were step program
800093,1,bitenbyboks oh god im glad feling beter ive realy god itl crazy wek though god way
800094,1,day til chris come home day til sumer
800095,1,davidgideon yeah day no around ish
800096,1,therealjspace first one tel twet drinking lol
800097,1,itsane kay thanks
800098,1,godnight
800099,1,determined get back basebal year since ive realy watched sport anyone interested going game
800100,1,beycah god beca god slep
800101,1,misnapyboy ur home where oh nkow lexington ky rite next
800102,1,sen preview movie quotobsesedquot w beyonce wow one crazy broad movie amp beyonce sems go nut to
800103,1,easy rider til fal aslep
800104,1,miketomalaris im very very excited live broadcast parisroubaix
800105,1,real god moment mi much
800106,1,beliestobabies two to know people survive winter without jungle gym home
800107,1,jaredleto started work last one holidayholiday
800108,1,watchin grek knighty knight
800109,1,working medium rom design love love love client profile
800110,1,greks prety lamehahaha yay get stalk sexy a
800111,1,lou aw thanks
800112,1,another god day nitey nite everyone first day schol tomorow ah im kinda nervous yet excitedtil tomorow
800113,1,thinking planing
800114,1,god enough time go slep whatever can hapier tomorow here hopin go check fb store now
800115,1,misvic mean thing im old
800116,1,jimyeatworld listening morning htpwdezercomtrack
800117,1,urbanthai thank
800118,1,pamfr thanks pam glad enjoyed it yes life short now ned strugle make beter choice every day
800119,1,jonathanrknight hm lot say tonight thats great course late reading it haha
800120,1,guykawasaki congrats folowers wow almost time
800121,1,larycarol going geting nm update time around im realy screaming wondering thanks
800122,1,suitelifeofkel thats freakin col love twiter haha
800123,1,irenda maybe there nothing wrong caring try care much
800124,1,brisa even know twiter lauren
800125,1,jbrotherlove thought great love story
800126,1,enbaldarling no thats miror loking in
800127,1,amandaheser thanks done without
800128,1,wow neat thanks god overitnowlt apologize sharing spiritual moment general public twiter
800129,1,day leave ontario
800130,1,spoke fam japan via skype love se litle mold nephew growing
800131,1,lisym ah saw writen tel someone spoken you suck mcfly got haha loser
800132,1,kacimauren holy laundry woman
800133,1,iamdidy hate to got back trainer go
800134,1,markhopus lol youï ½re fucking funy
800135,1,working seting ipod touch today oficialy mine
800136,1,nikhilnarayanan saw tvc yesterday worked
800137,1,jon could totaly say manies pedies would shut fat face it
800138,1,magopus hahaha wel ever run idea im nominating come god one
800139,1,friend fels like ber monday night thats never god ber always god always
800140,1,hopeinhel one usualy folows other no
800141,1,special thanks special
800142,1,god luck lauren rest cast tb cant wait something leak
800143,1,shot mon even mi land among star
800144,1,johnhays hm agre entirely creative amp vibrant night reasonbut ned slep
800145,1,izakiza nada tryna hola hola hows mixtape coming up
800146,1,ausieali yep make much easier get point acros
800147,1,snarkatack frezerworthy amoir already given scholarly atention supose another set eye could hurt not
800148,1,htptwitpicomyjf cupcake
800149,1,purplexa wonderful thing im favor using entire english language shit use expletive to think
800150,1,mynameisgerard haha im saying u try it maybe u
800151,1,back schol long walk flipin cold outside day ago suny next day raining today snowing
800152,1,sisterpaterson ate raw cokie dough tub bed must kindred spirit
800153,1,jonathanrknight agred internet random like random watched dirty dancing great movie thought song nighty night
800154,1,bloms use twetdeck update facebok twiter time
800155,1,firestoned dude star always awesome surprised se tweting
800156,1,nsastrasasmita k il try figure out im gona go bed night night
800157,1,amazing night lama malcolm meganltfuck theatre
800158,1,kayotae martini myself
800159,1,city day so hapy home schol morning
800160,1,spring break watching movie day everyday wek
800161,1,pushplaynick quotgrandpa want ice chest befquot george lopez rule
800162,1,katieporelo thank katie heading club speak stelar night wel take easy homey
800163,1,htpwyoutubecomwatchvclepjsras flower gone peter paul amp mary fav def
800164,1,shtime watch hils
800165,1,since posting new photo website kid hit count went upway way way up love china view alone
800166,1,jonathanrknight oh real jon r excited u guy came back u apreciate put there
